Amount of Chemo (Q),Consecutive Chemo Days,Cycle Length Days,Glial Cells (Healthy),Glioma Cells (Cancerous),Neuron Cells (N),Chemo in Body (Q)
750,4,20,0.996393586186478,4.78614058168999e-10,0.965553573883562,119.350990001772
787.5,4,21,0.996328622493601,4.015910490606e-10,0.964844849355809,228.289438747214
825,4,22,0.996310259501129,3.82868007234152e-10,0.964264064765806,291.680145286394
862.5,4,23,0.996318284687614,3.76215112744717e-10,0.963742877583281,248.795202332762
900,4,24,0.996363996342434,4.1012762078501e-10,0.963325583165224,142.183499262833
937.5,4,25,0.996458526371236,4.8573275902819e-10,0.963124522274394,53.6792696640031
975,4,26,0.996314960327438,3.51234061362076e-10,0.961978549867175,2535.67335978782
1012.5,4,27,0.996253743328589,2.93996619900915e-10,0.961371208083027,528.541294101788
1050,4,28,0.996416581060671,3.97882223261558e-10,0.961347344183487,74.0200282249225
1087.5,4,29,0.996287626744851,2.9624733198042e-10,0.960072608893162,2311.32739292205
1125,4,30,0.996327440005957,3.16341572886571e-10,0.959839594452194,176.581470855747
1162.5,4,31,0.996444483918706,3.92786311178764e-10,0.959574371640975,3210.87306553038
1200,4,32,0.996309375999504,2.8315500075754e-10,0.958547532951697,188.173054234651
1237.5,4,33,0.996402397406198,3.47766655114683e-10,0.958176888161494,3917.54484608816
1275,4,34,0.996373479948509,3.08455960286085e-10,0.957640988448788,89.2732019930249
1312.5,4,35,0.996212676070723,2.19476656156932e-10,0.956213003766046,1524.71330505338
1350,4,36,0.996518617620129,3.85749090729903e-10,0.957003981053748,19.0928895055596
1387.5,4,37,0.996258600289955,2.21988339278252e-10,0.955526298433601,262.629405479298
1425,4,38,0.996352215280876,2.73017490736303e-10,0.955147170123451,3686.90957522189
1462.5,4,39,0.996497090169203,3.40254359478782e-10,0.955373087134085,20.6852927950752
1500,4,40,0.99625123117719,2.00585991059562e-10,0.953958008598805,233.80933427138
1537.5,4,41,0.996246701605805,2.03379173042377e-10,0.953145644238424,2670.76589988462
1575,4,42,0.996602744411277,3.94287974865451e-10,0.954341029685182,6.65009550692108
1612.5,4,43,0.996360918025943,2.31093838619376e-10,0.952957583860422,62.028651963379
1650,4,44,0.996165893073941,1.5595189534531e-10,0.951704465399565,574.775876451599
1687.5,4,45,0.996456696625434,2.77606804372481e-10,0.952271041400356,5335.45164765409
